video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_4,nc_14_b,408.66666666666663,250,4_4,"[[ 8.         10.66666667 11.66666667  6.        ]
 [42.33333333 46.33333333 41.         35.66666667]
 [42.         39.         38.         37.        ]
 [ 8.66666667 14.         15.         13.33333333]]","[[ 0.7275      0.49666667  0.55416667  0.765     ]
 [23.15083333 10.83083333 25.5475     23.23416667]
 [39.75333333 35.2375     40.59583333 36.18583333]
 [ 8.1605     13.24083333 17.69416667  9.36      ]]"
control_sog_d_4,nc_14_c,377.5,250,4_4,"[[ 3.    9.    7.25  3.5 ]
 [37.   45.25 42.5  24.75]
 [39.25 38.75 41.   33.75]
 [ 9.   16.5  15.5  11.5 ]]","[[ 0.69166667  0.65916667  0.69333333  1.23916667]
 [13.30083333 13.41083333 29.86333333 24.64916667]
 [35.341      33.86666667 29.74       30.32666667]
 [ 2.78116667 11.8825      7.9815      9.9       ]]"
control_sog_d_4,nc_14_d,311.0,250,4_4,"[[ 1.25  3.    4.25  0.25]
 [20.   42.   35.25  8.75]
 [37.   41.75 38.75 26.75]
 [10.25 17.5  15.25  9.  ]]","[[ 1.32916667  0.6275      0.51        0.88666667]
 [14.99833333  9.148      24.129      23.6215    ]
 [33.4675     27.94416667 34.30916667 26.9345    ]
 [ 3.791       6.487      10.085       5.35533333]]"
control_sog_d_4,stage_6,234.60000000000002,250,4_4,"[[ 0.2  1.6  0.2  0.4]
 [16.6 25.  19.   2.8]
 [36.  36.6 36.6 14.4]
 [ 6.6 13.4 16.8  8.4]]","[[ 0.16333333  0.63166667  0.67166667  0.57333333]
 [14.80716667  8.34316667 10.42983333 11.59916667]
 [31.02416667 30.60466667 29.024      14.46116667]
 [ 3.0155      5.362       5.38116667  3.79916667]]"
control_sog_d_5,nc_13_late,92.5,250,4_4,"[[ 0.5  0.5  1.5  0.5]
 [ 7.5  9.  10.   5. ]
 [10.5 16.5 12.5  8.5]
 [ 1.5  3.   3.5  2. ]]","[[0.65333333 2.11333333 3.35633333 1.65333333]
 [4.1725     5.23       5.49       4.96666667]
 [6.07       6.24       6.88       6.80333333]
 [4.10666667 3.33066667 7.52733333 3.21333333]]"
control_sog_d_5,nc_14_a,253.99999999999994,250,4_4,"[[ 1.66666667  2.66666667  0.66666667  0.        ]
 [33.33333333 17.33333333  6.33333333  2.33333333]
 [36.66666667 41.33333333 33.33333333 27.33333333]
 [10.66666667 15.         14.         11.33333333]]","[[ 2.97416667  4.09733333  3.50466667  1.35      ]
 [ 9.8425      5.21333333  4.04083333  4.21166667]
 [11.33333333 28.56416667  7.235       6.445     ]
 [ 4.71316667  8.22316667  7.07083333  2.36      ]]"
control_sog_d_5,nc_14_b,248.33333333333334,250,4_4,"[[ 2.          1.          0.          0.        ]
 [37.33333333 15.33333333  1.33333333  0.        ]
 [43.         41.66666667 36.33333333 21.        ]
 [ 9.66666667 15.33333333 15.33333333  9.        ]]","[[ 2.53333333  1.97216667  0.792       0.84166667]
 [20.78666667 17.2145      6.83883333 18.19083333]
 [36.67083333 39.36683333 29.78333333 15.17333333]
 [ 7.8735     11.17633333 12.154       8.701     ]]"
control_sog_d_5,nc_14_c,204.25,250,4_4,"[[ 1.    0.5   0.    0.  ]
 [34.25  8.5   0.    0.  ]
 [39.5  40.5  32.25 13.5 ]
 [ 6.75 11.25 12.    4.25]]","[[ 2.055       0.10516667  0.205       0.0475    ]
 [17.2545      6.23783333  3.302       3.12      ]
 [34.3625     39.09433333 12.52983333  8.0615    ]
 [ 3.9935      6.13033333  5.43083333  5.40733333]]"
control_sog_d_5,nc_14_d,178.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [27.75  4.75  0.    0.  ]
 [40.   38.25 28.    9.5 ]
 [ 2.5   9.5  10.25  7.5 ]]","[[2.19333333e+00 1.19000000e-01 7.50000000e-02 1.00000000e-02]
 [1.56293333e+01 3.95100000e+00 2.27800000e+00 9.73166667e+00]
 [2.03498333e+01 2.96426667e+01 1.34583333e+01 5.60750000e+00]
 [2.61433333e+00 3.96616667e+00 3.43416667e+00 4.47450000e+00]]"
control_sog_d_5,stage_6,120.19999999999999,250,4_4,"[[ 0.   0.   0.   0. ]
 [16.6  0.2  0.2  0. ]
 [31.6 32.4 21.   7.8]
 [ 0.4  3.8  3.2  3. ]]","[[5.35000000e-02 2.50000000e-03 0.00000000e+00 5.00000000e-03]
 [7.06300000e+00 4.55933333e+00 2.72666667e+00 9.15633333e+00]
 [2.05558333e+01 2.57921667e+01 1.15591667e+01 7.01500000e+00]
 [4.89000000e-01 4.19833333e+00 3.71933333e+00 2.80616667e+00]]"
control_sog_d_6,nc_13_late,150.33333333333331,250,4_4,"[[ 0.66666667  0.66666667  2.          1.33333333]
 [12.66666667 13.66666667 11.33333333 11.66666667]
 [21.         19.33333333 19.         16.66666667]
 [ 2.33333333  3.66666667  6.          8.33333333]]","[[ 2.40666667  1.73833333  1.73        3.49      ]
 [11.84       10.46666667 10.7        10.39666667]
 [16.11216667 16.29833333 22.59       13.48233333]
 [ 2.11        6.74166667  7.18583333  7.27416667]]"
control_sog_d_6,nc_14_a,189.66666666666669,250,4_4,"[[ 0.          0.33333333  1.          1.66666667]
 [13.33333333 15.66666667  8.33333333  5.33333333]
 [35.33333333 35.         20.         10.66666667]
 [10.33333333 14.66666667 12.          6.        ]]","[[ 0.82983333  2.425       1.75        1.36      ]
 [20.05583333 13.40166667 18.52333333 17.3775    ]
 [31.53166667 22.69166667 28.66       20.48      ]
 [ 6.42333333 11.79833333 10.17666667 10.30833333]]"
control_sog_d_6,nc_14_b,234.33333333333331,250,4_4,"[[ 0.33333333  0.66666667  0.66666667  2.66666667]
 [10.33333333 23.33333333 24.66666667 15.33333333]
 [28.33333333 38.66666667 27.33333333 23.66666667]
 [ 6.66666667 11.         12.          8.66666667]]","[[ 1.70516667  0.50183333  0.84783333  0.55416667]
 [13.28866667 12.27266667 24.11333333 24.57833333]
 [41.94916667 36.66333333 31.05583333 21.84766667]
 [ 9.86666667 11.435      13.2775     15.95866667]]"
control_sog_d_6,nc_14_c,137.25,250,4_4,"[[ 0.    0.    0.    1.  ]
 [ 2.75 11.25 15.5   6.75]
 [19.25 29.25 18.5  14.5 ]
 [ 2.5   6.    4.5   5.5 ]]","[[ 1.44183333  0.40166667  0.405       1.69966667]
 [ 1.97383333 21.88683333 24.16533333 19.3425    ]
 [22.18433333 39.3235     39.4075     20.68366667]
 [ 7.0125     12.94233333 13.963       8.05616667]]"
control_sog_d_6,nc_14_d,74.75,250,4_4,"[[ 0.    0.    0.    0.5 ]
 [ 0.5   9.    4.5   2.75]
 [17.   21.75  8.25  2.25]
 [ 1.25  3.5   2.25  1.25]]","[[ 0.04416667  0.164       0.319       0.18666667]
 [ 6.93766667  7.60533333 14.8975      5.6175    ]
 [12.25166667 40.30833333 19.07       34.63566667]
 [ 2.27        5.91466667 10.41566667  6.1575    ]]"
control_sog_d_6,stage_6,61.6,250,4_4,"[[ 0.   0.   0.   0. ]
 [ 0.   2.2  3.4  0.8]
 [ 9.6 20.  13.4  3.2]
 [ 0.4  2.4  4.6  1.6]]","[[0.00000000e+00 3.25000000e-02 3.50000000e-02 1.57166667e-01]
 [3.85050000e+00 5.56666667e+00 1.20718333e+01 1.07600000e+00]
 [1.37091667e+01 3.45015000e+01 1.29906667e+01 7.70166667e+00]
 [5.69000000e-01 2.13666667e+00 2.26150000e+00 2.25666667e+00]]"
control_sog_d_7,nc_13_late,373.3333333333333,250,4_4,"[[ 7.          8.33333333  8.33333333  5.66666667]
 [34.         31.33333333 37.33333333 37.        ]
 [36.         38.66666667 40.66666667 40.33333333]
 [10.66666667 12.66666667 13.66666667 11.66666667]]","[[ 5.26933333  3.615       6.98783333  2.09883333]
 [12.46166667 11.6275     12.25333333 13.45916667]
 [24.60933333 19.02716667 20.87083333 19.50833333]
 [ 6.53583333  7.07       10.27416667  7.8175    ]]"
control_sog_d_7,nc_14_a,252.33333333333334,250,4_4,"[[ 0.          0.          0.          0.66666667]
 [19.         16.          4.33333333  3.66666667]
 [52.66666667 37.66666667 22.         30.        ]
 [ 8.66666667 15.33333333 21.66666667 20.66666667]]","[[ 3.93183333  5.18166667  7.34516667  2.968     ]
 [12.17583333  9.83916667 15.11733333 16.01      ]
 [21.11116667 23.54683333 20.13633333 23.33983333]
 [10.64433333 14.90583333 16.35833333 11.9425    ]]"
control_sog_d_7,nc_14_b,288.6666666666667,250,4_4,"[[ 0.          0.33333333  0.          0.        ]
 [10.         16.66666667  9.33333333 16.66666667]
 [44.         52.         49.66666667 56.        ]
 [ 1.33333333  5.66666667  9.66666667 17.33333333]]","[[ 0.58583333  0.57083333  1.225       2.65766667]
 [ 5.3175     11.04166667 15.97133333 14.59883333]
 [32.931      31.5385     18.45666667 22.82183333]
 [12.15316667 14.99066667 18.75583333 12.03583333]]"
control_sog_d_7,nc_14_c,151.25,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.5   3.5   1.5   3.  ]
 [24.   31.   32.5  38.25]
 [ 1.5   0.5   4.5  10.5 ]]","[[ 0.13583333  0.85933333  0.09666667  0.065     ]
 [ 3.41683333  3.59216667  2.6175      3.08      ]
 [26.42833333 29.11466667 18.07616667 31.93      ]
 [ 6.7195      9.521       7.7745      9.22566667]]"
control_sog_d_7,nc_14_d,50.75,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.75  0.75  0.    0.  ]
 [15.75  7.    8.   14.25]
 [ 0.25  0.5   1.    2.5 ]]","[[4.20000000e-02 7.50000000e-03 0.00000000e+00 2.50000000e-03]
 [2.31750000e+00 4.71633333e+00 2.58048333e+01 5.80116667e+00]
 [3.59483333e+01 1.72808333e+01 1.84823333e+01 1.75781667e+01]
 [2.59966667e+00 1.47233333e+00 5.22600000e+00 8.95616667e+00]]"
