video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_4,stage_6,234.60000000000002,250,4_4,"[[ 0.2  1.6  0.2  0.4]
 [16.6 25.  19.   2.8]
 [36.  36.6 36.6 14.4]
 [ 6.6 13.4 16.8  8.4]]","[[ 0.07916667  0.66583333  0.82416667  0.6225    ]
 [17.75166667 15.05016667 17.0835     13.96016667]
 [31.19683333 32.33783333 28.69933333 21.8245    ]
 [ 3.356       6.21983333  5.835       4.71133333]]"
control_sog_d_5,nc_13_late,92.5,250,4_4,"[[ 0.5  0.5  1.5  0.5]
 [ 7.5  9.  10.   5. ]
 [10.5 16.5 12.5  8.5]
 [ 1.5  3.   3.5  2. ]]","[[4.88333333 8.82666667 7.372      5.97666667]
 [7.         7.53416667 7.5025     7.18916667]
 [7.50983333 7.5765     7.31166667 7.265     ]
 [3.86       3.49316667 6.60333333 3.02666667]]"
control_sog_d_5,nc_14_a,253.99999999999994,250,4_4,"[[ 1.66666667  2.66666667  0.66666667  0.        ]
 [33.33333333 17.33333333  6.33333333  2.33333333]
 [36.66666667 41.33333333 33.33333333 27.33333333]
 [10.66666667 15.         14.         11.33333333]]","[[ 7.00933333  8.01        8.492       5.83      ]
 [ 9.25216667  7.57266667  6.71266667  6.78      ]
 [ 8.79383333 27.26        7.54766667  7.125     ]
 [ 3.67        4.25466667  5.354       3.33733333]]"
control_sog_d_5,nc_14_b,248.33333333333334,250,4_4,"[[ 2.          1.          0.          0.        ]
 [37.33333333 15.33333333  1.33333333  0.        ]
 [43.         41.66666667 36.33333333 21.        ]
 [ 9.66666667 15.33333333 15.33333333  9.        ]]","[[ 1.79466667  1.909       1.20183333  1.23483333]
 [18.28816667 16.27933333 10.412      15.33166667]
 [34.82333333 33.161      31.40933333 20.54916667]
 [10.0185     15.155      17.0075     14.17483333]]"
control_sog_d_5,nc_14_c,204.25,250,4_4,"[[ 1.    0.5   0.    0.  ]
 [34.25  8.5   0.    0.  ]
 [39.5  40.5  32.25 13.5 ]
 [ 6.75 11.25 12.    4.25]]","[[ 1.73866667  0.344       0.34666667  0.317     ]
 [18.03183333  5.89033333  5.51866667  7.8485    ]
 [31.655      34.8375     18.55183333 12.49283333]
 [ 6.44616667  8.99166667  9.97566667  7.77416667]]"
control_sog_d_5,nc_14_d,178.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [27.75  4.75  0.    0.  ]
 [40.   38.25 28.    9.5 ]
 [ 2.5   9.5  10.25  7.5 ]]","[[ 1.724       0.367       0.40266667  0.2695    ]
 [16.5725      5.8195      5.20816667 14.00316667]
 [20.10666667 30.274      13.02783333  7.01366667]
 [ 4.96066667  6.2585      6.58883333  7.27516667]]"
control_sog_d_5,stage_6,120.19999999999999,250,4_4,"[[ 0.   0.   0.   0. ]
 [16.6  0.2  0.2  0. ]
 [31.6 32.4 21.   7.8]
 [ 0.4  3.8  3.2  3. ]]","[[ 0.30066667  0.27833333  0.287       0.27616667]
 [ 8.3715      6.07183333  6.42783333 12.031     ]
 [18.141      26.604      11.78433333  8.60833333]
 [ 3.3375      6.4295      6.51133333  6.80683333]]"
control_sog_d_6,nc_13_late,150.33333333333331,250,4_4,"[[ 0.66666667  0.66666667  2.          1.33333333]
 [12.66666667 13.66666667 11.33333333 11.66666667]
 [21.         19.33333333 19.         16.66666667]
 [ 2.33333333  3.66666667  6.          8.33333333]]","[[ 2.12833333  1.57333333  1.86833333  2.10166667]
 [11.39333333  9.74        9.26333333  9.50333333]
 [17.43083333 15.71166667 19.40916667 14.62566667]
 [ 2.13816667  6.88916667  7.23333333  7.105     ]]"
control_sog_d_6,nc_14_a,189.66666666666669,250,4_4,"[[ 0.          0.33333333  1.          1.66666667]
 [13.33333333 15.66666667  8.33333333  5.33333333]
 [35.33333333 35.         20.         10.66666667]
 [10.33333333 14.66666667 12.          6.        ]]","[[ 0.7695      0.997       1.7785      0.99333333]
 [14.87383333 12.00466667  9.90333333 13.00366667]
 [30.5475     27.06       26.09       22.79      ]
 [ 8.31333333 11.40833333 11.04166667  8.345     ]]"
control_sog_d_6,nc_14_b,234.33333333333331,250,4_4,"[[ 0.33333333  0.66666667  0.66666667  2.66666667]
 [10.33333333 23.33333333 24.66666667 15.33333333]
 [28.33333333 38.66666667 27.33333333 23.66666667]
 [ 6.66666667 11.         12.          8.66666667]]","[[ 1.99666667  0.72533333  0.91633333  0.56333333]
 [23.999      20.93566667 29.79333333 27.2325    ]
 [39.41       38.04083333 36.35233333 29.09066667]
 [ 9.92933333 13.49666667 15.74       13.39316667]]"
control_sog_d_6,nc_14_c,137.25,250,4_4,"[[ 0.    0.    0.    1.  ]
 [ 2.75 11.25 15.5   6.75]
 [19.25 29.25 18.5  14.5 ]
 [ 2.5   6.    4.5   5.5 ]]","[[ 0.9825      0.2025      0.51        1.48766667]
 [11.87083333 26.69       28.50666667 27.29      ]
 [32.05383333 41.1035     41.581      25.895     ]
 [ 6.965      12.60916667 13.13616667  8.3255    ]]"
control_sog_d_6,nc_14_d,74.75,250,4_4,"[[ 0.    0.    0.    0.5 ]
 [ 0.5   9.    4.5   2.75]
 [17.   21.75  8.25  2.25]
 [ 1.25  3.5   2.25  1.25]]","[[2.50000000e-02 7.78333333e-02 4.75666667e-01 2.92000000e-01]
 [1.98923333e+01 9.08250000e+00 1.97313333e+01 8.35250000e+00]
 [1.82116667e+01 3.85065000e+01 1.90095000e+01 3.58083333e+01]
 [3.49183333e+00 6.91483333e+00 1.04978333e+01 7.36666667e+00]]"
control_sog_d_6,stage_6,61.6,250,4_4,"[[ 0.   0.   0.   0. ]
 [ 0.   2.2  3.4  0.8]
 [ 9.6 20.  13.4  3.2]
 [ 0.4  2.4  4.6  1.6]]","[[4.00000000e-03 4.00000000e-03 5.00000000e-03 2.03666667e-01]
 [1.03350000e+01 7.47683333e+00 1.58856667e+01 9.54216667e+00]
 [1.67325000e+01 3.52935000e+01 1.60853333e+01 2.20548333e+01]
 [1.84750000e+00 3.56816667e+00 4.95900000e+00 3.75850000e+00]]"
control_sog_d_7,nc_13_late,373.3333333333333,250,4_4,"[[ 7.          8.33333333  8.33333333  5.66666667]
 [34.         31.33333333 37.33333333 37.        ]
 [36.         38.66666667 40.66666667 40.33333333]
 [10.66666667 12.66666667 13.66666667 11.66666667]]","[[ 3.486       3.235       4.12016667  1.937     ]
 [13.96016667 11.7075     10.56333333 10.7185    ]
 [24.305      20.0625     21.19266667 20.01016667]
 [ 8.07        8.84833333 10.29583333  9.12283333]]"
control_sog_d_7,nc_14_a,252.33333333333334,250,4_4,"[[ 0.          0.          0.          0.66666667]
 [19.         16.          4.33333333  3.66666667]
 [52.66666667 37.66666667 22.         30.        ]
 [ 8.66666667 15.33333333 21.66666667 20.66666667]]","[[ 2.737       4.          3.96716667  2.49766667]
 [11.30666667  8.505      10.48166667 12.26916667]
 [27.31016667 22.88566667 19.44466667 20.2435    ]
 [10.66266667 13.792      14.26266667 11.997     ]]"
control_sog_d_7,nc_14_b,288.6666666666667,250,4_4,"[[ 0.          0.33333333  0.          0.        ]
 [10.         16.66666667  9.33333333 16.66666667]
 [44.         52.         49.66666667 56.        ]
 [ 1.33333333  5.66666667  9.66666667 17.33333333]]","[[ 1.02166667  1.35583333  1.33733333  1.92016667]
 [ 6.9505      7.80966667  7.49583333  7.53366667]
 [25.94666667 24.19283333 20.64266667 18.63916667]
 [13.83783333 15.252      16.19483333 13.27816667]]"
control_sog_d_7,nc_14_c,151.25,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.5   3.5   1.5   3.  ]
 [24.   31.   32.5  38.25]
 [ 1.5   0.5   4.5  10.5 ]]","[[ 0.95083333  1.19916667  1.02833333  0.89916667]
 [ 3.87        3.60616667  3.38866667  3.925     ]
 [19.86583333 21.9395     15.00516667 21.91116667]
 [ 5.947       7.511       6.4705      7.85233333]]"
control_sog_d_7,nc_14_d,50.75,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.75  0.75  0.    0.  ]
 [15.75  7.    8.   14.25]
 [ 0.25  0.5   1.    2.5 ]]","[[2.50000000e-03 0.00000000e+00 0.00000000e+00 2.50000000e-03]
 [8.19000000e-01 1.87166667e+00 2.91583333e+00 1.60116667e+00]
 [2.35173333e+01 1.34788333e+01 1.09263333e+01 1.11916667e+01]
 [2.53800000e+00 1.17316667e+00 3.06516667e+00 4.32200000e+00]]"
control_sog_d_8,nc_13_late,150.33333333333331,250,4_4,"[[ 0.33333333  2.          1.66666667  4.        ]
 [ 7.66666667 11.66666667 17.66666667 14.33333333]
 [13.         18.66666667 19.         18.        ]
 [ 6.33333333  6.66666667  7.          2.33333333]]","[[ 1.835       2.40933333  1.563       2.13083333]
 [12.63333333 13.10666667 11.28166667 11.87266667]
 [19.60833333 17.69133333 19.78166667 15.17116667]
 [ 8.44833333 10.195      10.445       5.80166667]]"
control_sog_d_8,nc_14_a,331.3333333333333,250,4_4,"[[ 0.          3.66666667  3.          8.        ]
 [28.66666667 42.33333333 37.         28.33333333]
 [39.         33.33333333 28.33333333 22.33333333]
 [20.66666667 17.33333333 13.33333333  6.        ]]","[[ 0.20833333  6.11833333  0.67833333  1.08      ]
 [12.15566667 12.76666667 12.33333333  9.87666667]
 [29.90333333 30.32166667 23.11416667 20.84666667]
 [10.33333333 14.46866667 10.82333333  7.4325    ]]"
control_sog_d_8,nc_14_b,383.6666666666667,250,4_4,"[[ 0.          0.33333333  2.          0.66666667]
 [13.33333333 30.66666667 44.66666667 36.        ]
 [45.         47.33333333 44.33333333 42.        ]
 [24.         22.33333333 19.66666667 11.33333333]]","[[ 1.25366667  5.1635      4.82416667  6.87      ]
 [ 9.31583333 10.526      11.54683333  9.66416667]
 [35.79416667 21.63583333 20.18916667 32.34616667]
 [19.42333333 16.56666667 14.56316667  7.28983333]]"
